HierarchyNameLevel1;HierarchyNameLevel2;HierarchyNameLevel3;ProductId;PartNumber;Name;Price;PriceSRP;CurrencyId;MinorGroup;AvailableExternal;CopyrightFee;RecyclingFee;FeesCurrencyId;BarCodeType;BarCode;Warranty;Available
"2x3";"Office";"Flipcharts";"C0659002";"TF02";"Pro Mobilechart painted surface (whiteboards - magnetic)";91.3900;104.3900;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627306780";"Warranty 24 months";"0"
"2x3";"Office";"Flipcharts";"C0659019";"TF04";"Flipchart Piranha Mobile (whiteboards - magnetic)";55.6200;67.2400;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627305196";"Warranty 24 months";"0"
"2x3";"Office";"Flipcharts";"C0659330";"TF14";"Double sided flipchart (whiteboards - magnetic) 70x100cm";82.5800;94.3300;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627308838";"Warranty 24 months";"0"
"2x3";"Office";"Flipcharts";"C0659331";"TF03";"Mobilechart painted surface (whiteboards - magnetic)";76.4900;87.3700;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627308401";"Warranty 24 months";"1"
"2x3";"Office";"Flipcharts";"C0659333";"TF14P3";"Double sided flipchart (whiteboards - magnetic, ceramic surface) 70x100cm";113.3700;129.5100;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627309996";"Warranty 24 months";"0"
"2x3";"Office";"Flipcharts";"C0659338";"Tf01/60";"Flipchart economic 60x90";29.6500;34.1300;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627305165";"Warranty 24 months";"0"
"2x3";"Office";"Flipcharts";"C0659350";"TF01 ECO Popiel";"Flipchart ECO";33.8900;39.0100;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627315416";"Warranty 24 months";"19"
"2x3";"Office";"Flipcharts";"C0659363";"TF015 2x3";"Flipchart Popchart Red";52.6900;60.1900;"EUR";"Document archiving";"0";"";"";"";"";"";"Warranty 24 months";"0"
"2x3";"Office";"Flipcharts";"C0659416";"TF03 ECO";"Flipchart  mobile ECO";73.2500;84.3200;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627321370";"Warranty 24 months";"0"
"2x3";"Office";"Pivoting boards";"C0659000";"TKU 1710";"Chalkboard in aluminium frame  100x170 cm";46.3300;52.9200;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907636711162";"Warranty 24 months";"0"
"2x3";"Office";"Pivoting boards";"C0659025";"TOS129";"Rotary-driving board 120x90 (whiteboards - Magnetic)";177.8700;203.1800;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627308906";"Warranty 24 months";"0"
"2x3";"Office";"Pivoting boards";"C0659033";"TOS1510";"Rotary-driving board 100x150";217.8400;248.8400;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627308913";"Warranty 24 months";"0"
"2x3";"Office";"Pivoting boards";"C0659035";"TOS129P3";"Pivoting magnetic whiteboard 120x90 ceramic";241.6400;276.0300;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627308937";"Warranty 24 months";"0"
"2x3";"Office";"Pivoting boards";"C0659036";"TOS1510P3";"Pivoting magnetic whiteboard 150x100 ceramic";299.6000;342.2300;"EUR";"Document archiving";"0";"";"";"";"";"";"Warranty 24 months";"0"
"2x3";"Office";"Pivoting boards";"C0659037";"TOS1218P3";"Pivoting magnetic whiteboard 120x180 ceramic";329.9400;376.8900;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627308951";"Warranty 24 months";"0"
"2x3";"Office";"Pivoting boards";"C0659205";"TS34/C OZ";"Dry-wipe board in wooden frame Ecoboards 30x40 cm 20 pcs.";56.4800;65.0100;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627303260";"Warranty 24 months";"0"
"2x3";"Office";"Pivoting boards";"C0659206";"TS46/C OZ";"Dry-wipe board in wooden frame Ecoboards 40x60 cm 10 pcs.";42.3600;48.7600;"EUR";"Document archiving";"0";"";"";"";"EAN13";"5907627303284";"Warranty 24 months";"0"
