VALMISTAJA;VALMISTAJA-KOODI;TUOTERYHMÄ;TUOTEKOODI;TUOTENIMIKE;HINTA ALV 0;HINTA;VARASTO;TULOSSA;WWW-OSOITE;TUOTENIMIKEID;EAN-KOODI;TUOTERYHMÄ
GARMIN;010-01682-13;NAVIGOINTILAITTEET;010-01682-13;GARMIN DRIVEASSIST 51 EUROPE LMT-D;258.60;320.66;0;;;1065055;753759170172;GPS/NAVIGATORS
DELL;0DKG0;KANNETTAVAT TIETOKONEET;0DKG0;DELL 5370 I7-8550U/13.3FHD/8GB/512SSD/R530-4GB/10P/1CR;690.43;856.13;9;;www.dell.fi;1122186;5397184184950;KANNETTAVAT TIETOKONEET
DELL;0JYYR;PALVELIMET;0JYYR;DELL EMC R640 4110/8C/16GB/600GB/H730P/8SFF/3BW;1691.49;2097.45;1;;;1102197;5397184103913;PALVELIMET
LG ELECTRONICS;10SM3TB-B3YS;INFONÄYTÖT;10SM3TB-B;LG 10SM3TB-B 10" WXGA IPS 400NITS 16/7 WAYFINDING TOUCH POE;312.80;387.87;0;;www.lg.com/global/business/information-display/digital-signage;1007574;8806087497649;INFO MONITORS < 32"
DELL;1J9XM;KANNETTAVAT TIETOKONEET;1J9XM;DELL M5530 I9-8950HK/15.6UHT/32GB/1TBSSD/P2000-4GB/10P/1PS;2445.75;3032.73;6;;www.dell.fi;1117965;5397184191286;KANNETTAVAT TYÖASEMAT
DELL;1KX77;PALVELIMET;1KX77;DELL EMC R540 4110/8C/16GB/240GBSSD/H730P+/8LFF/3PS;2010.64;2493.19;0;;;1121468;5397184231746;PALVELIMET
LENOVO;20J2S15R01;KANNETTAVAT TIETOKONEET;20J2S15R01;LENOVO TP13 I5-7200U/13.3FHD/8GB/256SSD/10P/3OS RUSSIAN;580.50;719.82;1;;;1080204;192158292236;KANNETTAVAT TIETOKONEET
LENOVO;20KH0035MX;KANNETTAVAT TIETOKONEET;20KH0035MX;LENOVO X1 I5-8250U/14FHD/8GB/256SSD PCIE/10P;1494.00;1852.56;19;;;1098957;192330303545;KANNETTAVAT TIETOKONEET
LENOVO;20KH006MMX;KANNETTAVAT TIETOKONEET;20KH006MMX;LENOVO X1 I7-8550U/14WQHD-HDR/16GB/1TB PCIE/4G/10P;2391.00;2964.84;3;;;1098976;192330779234;KANNETTAVAT TIETOKONEET
LENOVO;20KN0062MX;KANNETTAVAT TIETOKONEET;20KN0062MX;LENOVO E480 I7-8550U/14FHD/1X16GB/256SSD+1TB/RX550-2GB/10P;928.50;1151.34;6;;;1098710;192330523523;KANNETTAVAT TIETOKONEET
