ProductID	EuropeanArticleNumber	CategoryText1	CategoryText2	EndOfLife	GrossMass	IsReturnable	IsCancelable	ShortDescription	WarrantyText	FollowUpProduct	CashDiscount	AvailableNextDate	AvailableNextQuantity	ProductStatus	WarrantyID	WarrantyMonths	CategoryIDN	CategoryID	VatRate	VatAmount	PackageLength	PackageWidth	PackageHeight	NetPriceLastDay	IsTopSeller	Serialnumbers	Bonus	ManufacturerName	CategoryText3	ManufacturerPartNumber	Description	AvailableQuantity	NetPrice
1003285	4948382338792	Toimistolaitteet ja tarvikkeet	Tallennustarvikkeet		.287			HPE DLTIV Cartridge 40/80GB Media	elinikäinen takuu						199	360	3016	F13002001	24	12.85	114	111	32				0	HEWLETT PACKARD ENTERPRISE	Magneettiset	C5141F	HPE DLTIV Cartridge 40/80GB Media	0	53.53
1007881	0848412012699	Toimistolaitteet ja tarvikkeet	Paperit ja kalvot		2.92	X	X	HP paper bright white 24inch 45m roll	Limited Lifetime Warranty						105	360	3014	F13001004	24	3.55	655	110	110				0	BMG	Suurkuvatulostimien paperit	C6035A	HP Bright white rulla 24"/610mm 45m 90g/m2	9	14.8
1007885	0088698687277	Toimistolaitteet ja tarvikkeet	Tulostimen värit		.175			HP Tri-Col InkJet Print Cartridge(30 ml)	elinikäinen takuu						199	360	3019	F13003001	24	11.45	159	120	45				0	HP INC.	Mustesuihkupatruunat ja –tarvikkeet	C1823D	HP Tri-Col InkJet Print Cartridge(30 ml)	0	47.71
1008949	0790069217715	Verkko ja Valvonta	Kytkimet		.275			DLINK 8xRJ45 10/100 unmanaged 8port	60 kuukauden vienti takuu						160	60	3050	F14001002	24	2.09	163	105	98			X	0	D-LINK	Ei-hallittavat kytkimet	DES-1008D/E	DLINK 8xRJ45 10/100 unmanaged 8Port Switch 100MBit	0	8.7
1009318	0010343812031	Toimistolaitteet ja tarvikkeet	Paperit ja kalvot		1.525			EPSON photopaper quality A3 100sh	elinikäinen takuu						199	360	3012	F13001002	24	7.18	434	309	27				0	EPSON	Valokuvapaperit	C13S041068	EPSON photopaper quality A3 100sh for Inkjet Matt gestrichen 102g/m	1	29.9
1009319	0010343812048	Toimistolaitteet ja tarvikkeet	Paperit ja kalvot		1.945			EPSON Photo Quality Inkjet Paper  A3+	12 kuukauden vienti takuu						112	12	3012	F13001002	24	8.78	496	342	25				0	EPSON	Valokuvapaperit	C13S041069	EPSON Photo Quality Inkjet Paper  A3+	0	36.57
1009334	0010343818514	Toimistolaitteet ja tarvikkeet	Paperit ja kalvot		1.61			EPSON paper matt heavyweight A3+ 50sh	elinikäinen takuu						199	360	3012	F13001002	24	7.26	497	342	22				0	EPSON	Valokuvapaperit	C13S041264	EPSON paper matt heavyweight A3 + 50BL heavy paper matt A3 + 167g/m	0	30.27
1009341	0010343819795	Toimistolaitteet ja tarvikkeet	Paperit ja kalvot		1.3	X	X	EPSON photopaper glossy premium A3+	elinikäinen takuu						199	360	3012	F13001002	24	4.58	495	347	17				0	EPSON	Valokuvapaperit	C13S041316	EPSON photopaper glossy premium A3+ 330x483mm photopaper glaenzend 255g/m	8	19.08
1009342	0010343819788	Toimistolaitteet ja tarvikkeet	Paperit ja kalvot		1.05			EPSON photopaper glossy premium A3	elinikäinen takuu						199	360	3012	F13001002	24	6.91	430	320	10				0	EPSON	Valokuvapaperit	C13S041315	EPSON photopaper glossy premium A3 photopaper glaenzend 255g/m	0	28.78
1009494	0088698198070	Toimistolaitteet ja tarvikkeet	Paperit ja kalvot		.22	X	X	HP transfer paper T-Shirt A4 12sheet	6 kuukauden vienti takuu			20191014	2		106	6	3013	F13001003	24	3.2	317	239	10				0	HP INC.	Muut tulostusmateriaalit	C6050A	HP Transfer paper T-Shirt A4 12sheet IronOn	2	13.35
