Tuotenumero;Tuotekuvaus;Toimittajan nimi;Toimittajan tuotenumero;EAN-koodi 1;EAN-koodi 2;EAN-koodi 3;EAN-koodi 4;EAN-koodi 5;EAN-koodi 6;Tuoteryhmä;Tuoteryhmän nimi;Myyntihinta;Saatavuus (step);Merkitse uudet hinnat;Hinnanmuutokset;Poistetut tuotteet;Setit;Yksikköhinta;Perushinta
103154;Fujifilm instax mini Hello Kitty Set incl. Film;Fujifilm;70100118555;4260010852693;4547410290622;;;;;BDB;Pikakamerat;67.08;0;;;;0;;
143453;Fujifilm instax mini 70 white;Fujifilm;16496031;4547410313826;;;;;;BDB;Pikakamerat;70.47;> 10;;;;0;;
143460;Fujifilm instax mini 70 blue;Fujifilm;16496079;4547410313864;;;;;;BDB;Pikakamerat;70.47;5;;;;0;;
143467;Fujifilm instax mini 70 yellow;Fujifilm;16496110;4547410313901;;;;;;BDB;Pikakamerat;70.47;8;;;;0;;
232773;Fujifilm instax mini 70 red;Fujifilm;16513889;4547410321883;;;;;;BDB;Pikakamerat;70.47;0;;;;0;;
232780;Fujifilm instax mini 70 gold;Fujifilm;16513891;4547410321890;;;;;;BDB;Pikakamerat;70.47;7;;;;0;;
298328;Fujifilm instax mini 9 iceblue;Fujifilm;16550693;4547410349474;;;;;;BDB;Pikakamerat;48.90;> 100;;;;0;;
298356;Fujifilm instax mini 9 smoke white;Fujifilm;16550679;4547410349450;;;;;;BDB;Pikakamerat;48.90;> 60;;;;0;;
342379;Fujifilm instax mini 70 black;Fujifilm;16513877;4547410321876;;;;;;BDB;Pikakamerat;70.47;2;;;;0;;
382594;Fujifilm instax SQUARE SQ 6 blush gold;Fujifilm;16581408;4547410373905;;;;;;BDB;Pikakamerat;90.72;> 60;;;;0;;
382601;Fujifilm instax SQUARE SQ 6 grey;Fujifilm;16581410;4547410373912;;;;;;BDB;Pikakamerat;90.72;> 30;;;;0;;
382608;Fujifilm instax SQUARE SQ 6 pearl white;Fujifilm;16581393;4547410373899;;;;;;BDB;Pikakamerat;90.72;9;;;;0;;
395117;Fujifilm instax mini 9 set   New incl. Film flamingopink;Fujifilm;70100140245;4260074174809;;;;;;BDB;Pikakamerat;61.93;> 10;;;;0;;
395131;Fujifilm instax mini 9 set   New incl. Film iceblue;Fujifilm;70100140244;4260074174823;;;;;;BDB;Pikakamerat;61.93;1;;;;0;;
395138;Fujifilm instax mini 9 set   New incl. Film smoke white;Fujifilm;70100140243;4260074174816;;;;;;BDB;Pikakamerat;61.93;1;;;;0;;
411147;Fujifilm instax SQUARE SQ 20 beige;Fujifilm;16603218;4547410389883;;;;;;BDB;Pikakamerat;140.04;1;;;;0;;
411154;Fujifilm instax SQUARE SQ 20 black;Fujifilm;16603206;4547410389876;;;;;;BDB;Pikakamerat;140.04;2;;;;0;;
411161;Fujifilm instax SQUARE SQ 6 water blue;Fujifilm;16608646;4547410394054;;;;;;BDB;Pikakamerat;90.72;> 20;;;;0;;
